task_id,filename,new_since_previous_review,bottle_proxy_state,bottle_proxy_bbox_xyxy,status,review_status,outside_proxy_pct_gt25,outside_proxy_mean_absdiff,failure_reasons
img2-0061,0061__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_061.png,False,upright_dot,"[248, 270, 287, 309]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3682,47.483,major source-scene drift outside proxy region (pct_gt25=0.3682); manual layout/text not reliably preserved
img2-0063,0063__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_063.png,False,upright_dot,"[1132, 1022, 1171, 1061]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2705,33.323,major source-scene drift outside proxy region (pct_gt25=0.2705); manual layout/text not reliably preserved
img2-0072,0072__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_072.png,False,upright_dot,"[1130, 38, 1169, 77]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3536,45.324,major source-scene drift outside proxy region (pct_gt25=0.3536); manual layout/text not reliably preserved
img2-0075,0075__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_075.png,False,upright_dot,"[740, 238, 779, 277]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3174,41.251,major source-scene drift outside proxy region (pct_gt25=0.3174); manual layout/text not reliably preserved
img2-0085,0085__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_085.png,False,upright_dot,"[200, 126, 239, 165]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.4244,54.522,major source-scene drift outside proxy region (pct_gt25=0.4244); manual layout/text not reliably preserved
img2-0095,0095__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_095.png,False,upright_dot,"[332, 314, 371, 353]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.1892,22.126,major source-scene drift outside proxy region (pct_gt25=0.1892); manual layout/text not reliably preserved
img2-0097,0097__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_097.png,False,upright_dot,"[332, 642, 371, 681]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3345,42.228,major source-scene drift outside proxy region (pct_gt25=0.3345); manual layout/text not reliably preserved
img2-0101,0101__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_101.png,False,upright_dot,"[986, 246, 1025, 285]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.1596,18.991,major source-scene drift outside proxy region (pct_gt25=0.1596); manual layout/text not reliably preserved
img2-0114,0114__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_114.png,True,lying_bar,"[1092, 522, 1201, 828]",failed_final_blocker_live_image2_scoping,blocked_no_output,0.1745,19.868,major source-scene drift outside proxy region (pct_gt25=0.1745); manual layout/text not reliably preserved
img2-0115,0115__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_115.png,True,upright_dot,"[300, 826, 339, 865]",failed_final_blocker_live_image2_scoping,blocked_no_output,0.1991,23.298,major source-scene drift outside proxy region (pct_gt25=0.1991); manual layout/text not reliably preserved
img2-0116,0116__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_116.png,True,lying_bar,"[1189, 69, 1337, 359]",failed_final_blocker_live_image2_scoping,blocked_no_output,0.2109,24.532,major source-scene drift outside proxy region (pct_gt25=0.2109); manual layout/text not reliably preserved
img2-0117,0117__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_117.png,True,lying_bar,"[372, 332, 686, 410]",failed_final_blocker_live_image2_scoping,blocked_no_output,0.1855,21.496,major source-scene drift outside proxy region (pct_gt25=0.1855); manual layout/text not reliably preserved
img2-0157,0157__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_157.png,False,upright_dot,"[328, 42, 367, 81]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2658,31.938,major source-scene drift outside proxy region (pct_gt25=0.2658); manual layout/text not reliably preserved
img2-0159,0159__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_159.png,False,upright_dot,"[454, 114, 493, 153]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3204,39.897,major source-scene drift outside proxy region (pct_gt25=0.3204); manual layout/text not reliably preserved
img2-0161,0161__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_161.png,False,upright_dot,"[530, 292, 569, 331]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2706,33.053,major source-scene drift outside proxy region (pct_gt25=0.2706); manual layout/text not reliably preserved
img2-0163,0163__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_163.png,False,lying_bar,"[46, 80, 65, 398]",completed_live_image2,base_file_qa_pass_visual_pending,0.1629,18.236,major source-scene drift outside proxy region (pct_gt25=0.1629); manual layout/text not reliably preserved
img2-0164,0164__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_164.png,False,upright_dot,"[412, 446, 451, 485]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.0,0.003,upright-dot output remains visually under-scaled/anchor quality questionable from prior blocker
img2-0165,0165__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_165.png,False,lying_bar,"[500, 421, 762, 615]",completed_live_image2,base_file_qa_pass_visual_pending,0.2057,24.019,major source-scene drift outside proxy region (pct_gt25=0.2057); manual layout/text not reliably preserved
img2-0166,0166__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_166.png,False,lying_bar,"[504, 325, 819, 393]",completed_live_image2,base_file_qa_pass_visual_pending,0.3355,43.379,major source-scene drift outside proxy region (pct_gt25=0.3355); manual layout/text not reliably preserved
img2-0167,0167__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_167.png,False,lying_bar,"[1065, 124, 1297, 353]",completed_live_image2,base_file_qa_pass_visual_pending,0.3199,37.166,major source-scene drift outside proxy region (pct_gt25=0.3199); manual layout/text not reliably preserved
img2-0168,0168__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_168.png,False,upright_dot,"[760, 250, 799, 289]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2184,25.451,major source-scene drift outside proxy region (pct_gt25=0.2184); manual layout/text not reliably preserved
img2-0169,0169__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_169.png,False,lying_bar,"[894, 244, 1206, 329]",completed_live_image2,base_file_qa_pass_visual_pending,0.2906,34.865,major source-scene drift outside proxy region (pct_gt25=0.2906); manual layout/text not reliably preserved
img2-0170,0170__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_170.png,False,lying_bar,"[105, 128, 313, 379]",completed_live_image2,base_file_qa_pass_visual_pending,0.3133,38.296,major source-scene drift outside proxy region (pct_gt25=0.3133); manual layout/text not reliably preserved
img2-0176,0176__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_176.png,True,lying_bar,"[64, 686, 311, 899]",paused_after_0171_blocker,not_ready,0.1533,15.827,major source-scene drift outside proxy region (pct_gt25=0.1533); manual layout/text not reliably preserved
img2-0178,0178__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_178.png,True,lying_bar,"[570, 219, 863, 359]",paused_after_0171_blocker,not_ready,0.1576,19.791,major source-scene drift outside proxy region (pct_gt25=0.1576); manual layout/text not reliably preserved
img2-0180,0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,True,lying_bar,"[257, 135, 429, 411]",paused_after_0171_blocker,not_ready,0.1673,19.093,major source-scene drift outside proxy region (pct_gt25=0.1673); manual layout/text not reliably preserved
img2-0501,0501__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,False,lying_bar,"[338, 480, 486, 769]",pending,not_ready,0.1851,21.328,major source-scene drift outside proxy region (pct_gt25=0.1851); manual layout/text not reliably preserved
img2-0502,0502__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,False,lying_bar,"[891, 142, 1123, 372]",pending,not_ready,0.2445,30.728,major source-scene drift outside proxy region (pct_gt25=0.2445); manual layout/text not reliably preserved
img2-0503,0503__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,False,lying_bar,"[222, 201, 461, 423]",pending,not_ready,0.2006,26.892,major source-scene drift outside proxy region (pct_gt25=0.2006); manual layout/text not reliably preserved
img2-0504,0504__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,False,upright_dot,"[1014, 166, 1053, 205]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2659,33.406,major source-scene drift outside proxy region (pct_gt25=0.2659); manual layout/text not reliably preserved
img2-0510,0510__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,False,upright_dot,"[1018, 296, 1057, 335]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2353,29.685,major source-scene drift outside proxy region (pct_gt25=0.2353); manual layout/text not reliably preserved
img2-0861,0861__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,False,no_bottle,,needs_rework_corrected_bottle_reference,rework_required,0.3256,39.381,no_bottle row changed/regenerated manual layout instead of preserving source scene
img2-0862,0862__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,False,no_bottle,,needs_rework_corrected_bottle_reference,rework_required,0.2632,33.482,no_bottle row changed/regenerated manual layout instead of preserving source scene
img2-0952,0952__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_002.png,False,upright_dot,"[718, 740, 757, 779]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.1969,27.058,major source-scene drift outside proxy region (pct_gt25=0.1969); manual layout/text not reliably preserved
img2-0953,0953__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_003.png,False,lying_bar,"[1260, 530, 1359, 837]",pending,not_ready,0.2018,25.91,major source-scene drift outside proxy region (pct_gt25=0.2018); manual layout/text not reliably preserved
img2-0974,0974__false__missing_2__combo_manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,False,no_bottle,,pending,not_ready,0.2813,36.076,no_bottle row changed/regenerated manual layout instead of preserving source scene
img2-0986,0986__false__missing_3__combo_bottle_proxy__manual_battery_instruction__copy_001.png,False,lying_bar,"[436, 228, 744, 331]",pending,not_ready,0.1586,20.874,major source-scene drift outside proxy region (pct_gt25=0.1586); manual layout/text not reliably preserved
img2-0994,0994__false__missing_3__combo_manual_battery_instruction__manual_download_service__copy_001.png,False,no_bottle,,pending,not_ready,0.2964,39.569,no_bottle row changed/regenerated manual layout instead of preserving source scene
